,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat
0,2,6,9,3,5,1,1,1,1,1,4
2,1,6,6,4,5,1,1,1,1,1,3
3,2,7,6,0,4,1,1,1,1,1,3
4,2,8,9,6,10,1,1,1,1,0,3
5,2,8,5,3,7,1,1,1,1,1,3
6,3,6,6,3,7,1,1,1,1,1,3
7,5,8,10,5,10,1,1,1,0,0,3
8,0,8,10,6,3,1,1,1,0,0,2
10,5,8,5,3,3,1,1,1,1,1,4
14,0,8,6,3,10,1,1,1,1,1,3
15,3,7,9,0,7,1,1,1,1,0,3
16,0,8,6,0,4,1,1,1,1,0,3
18,0,7,5,3,4,1,1,1,1,0,3
20,2,8,9,0,4,1,1,1,1,1,3
21,0,7,9,3,4,1,1,1,1,1,3
24,0,5,10,3,5,1,1,1,1,0,3
25,0,5,3,3,5,1,1,1,1,1,3
26,0,4,5,3,5,1,1,1,1,1,3
32,1,6,9,0,4,1,1,1,1,1,3
39,5,7,9,1,5,1,1,1,1,1,3
42,3,7,10,3,10,1,1,1,0,1,3
45,0,6,5,0,4,1,1,1,1,1,2
46,0,5,5,0,4,1,1,1,1,1,3
51,2,5,5,0,5,1,1,1,1,1,4
54,1,6,10,2,7,1,1,1,1,1,3
58,5,8,5,2,10,1,1,1,0,1,3
62,0,4,4,0,7,1,1,1,1,1,2
