,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,EWS_DaysToThreat,index,Expected Evacuation Costs,Expected Number of Deaths,Gelderland Dike Investment Costs,GelderlandDownstream Expected Annual Damage,GelderlandUpstream Expected Annual Damage,OverIjsel Dike Investment Costs,OverIjsel Expected Annual Damage,RfR Total Costs
2,0,0,0,1,0,9,9,10,6,10,4,mordm 2,0,0.97,0.171407405,0.98,0.95,0.041574362,1,0.1212
3,0,0,0,1,0,9,8,10,6,10,3,mordm 3,0,0.97,0.167019506,0.98,0.93,0.041574362,1,0.1212
4,0,0,0,1,0,10,8,10,5,10,3,mordm 4,0,0.96,0.171040009,0.96,0.93,0.041574362,1,0.1212
5,0,0,0,1,0,9,9,10,5,10,3,mordm 5,0,0.96,0.170475988,0.96,0.95,0.041574362,1,0.1212
6,0,0,0,1,0,9,8,10,5,10,3,mordm 6,0,0.96,0.166088089,0.96,0.93,0.041574362,1,0.1212
33,1,1,1,1,1,1,6,10,2,7,3,moro_geldinv_opt 7,0,0.96,0.148699977,0.96,0.93,0.041574362,0.99,0.3331
7,0,0,0,1,0,9,9,10,4,10,3,mordm 7,0,0.95,0.16959489,0.93,0.95,0.041574362,1,0.1212
23,1,1,1,1,1,0,7,9,3,4,3,moro_geldinv_opt 4,0,0.95,0.137254184,0.99,0.87,0.041574362,1,0.4543
0,0,0,0,1,0,10,7,10,10,10,3,mordm 0,0,0.93,0.172079558,0.99,0.9,0.041574362,1,0.1212
1,0,0,0,1,0,9,7,10,9,10,3,mordm 1,0,0.93,0.165969763,0.99,0.9,0.041574362,1,0.1212
24,1,1,1,1,0,0,5,10,3,5,3,moro_geldinv_opt 42,0,0.89,0.13542572,0.91,0.88,0.041574362,0.99,0.5892
35,1,1,1,1,1,0,4,4,0,7,2,moro_rfr_opt 0,0,0.83,0.156278201,0.97,0.91,0.034931117,0.87,0
31,1,1,1,1,1,0,5,5,0,4,3,moro_geldinv_opt 6,0,0.82,0.12553195,0.87,0.85,0.034931117,0.93,0.7104
29,1,1,1,0,1,3,7,10,3,10,3,moro_geldinv_opt 54,0.003962328,0.79,0.124053943,0.89,0.77,0.034931117,0.93,0.7104
8,0,0,0,0,0,7,8,9,6,7,2,moro_geldinv_opt 0,0,0.77,0.126475282,0.93,0.82,0.031004769,0.81,0.7104
10,1,1,1,1,1,1,6,6,4,5,3,moro_geldinv_opt 14,0,0.77,0.095428914,0.87,0.73,0.041574362,1,0.7104
27,1,1,1,1,1,1,6,9,0,4,3,moro_geldinv_opt 5,0,0.77,0.128941606,0.83,0.87,0.034931117,0.93,0.7104
22,1,1,1,1,1,2,8,9,0,4,3,moro_geldinv_opt 39,0.003962328,0.75,0.139699092,0.82,0.94,0.031004769,0.81,0.7104
14,1,1,1,1,1,3,6,6,3,7,3,moro_geldinv_opt 2,0,0.71,0.119743306,0.91,0.77,0.031004769,0.81,0.7104
30,1,1,1,1,1,0,6,5,0,4,2,moro_geldinv_opt 58,0.004082568,0.7,0.138946264,0.72,0.93,0.041574362,0.99,0.5892
11,1,1,1,1,1,2,7,6,0,4,3,moro_geldinv_opt 15,0.02184204,0.68,0.126197613,0.61,0.91,0.034931117,0.93,0.4543
16,1,1,1,0,0,0,8,10,6,3,2,moro_geldinv_opt 21,0,0.66,0.09560412,0.93,0.73,0.02917962,0.67,0.7104
17,1,1,1,1,1,5,8,5,3,3,4,moro_geldinv_opt 24,0,0.66,0.089462476,0.92,0.6,0.031004769,0.81,0.4543
15,1,1,1,0,0,5,8,10,5,10,3,moro_geldinv_opt 20,0.016084336,0.62,0.126965738,0.71,0.87,0.02917962,0.67,0.7104
9,1,1,1,1,1,2,6,9,3,5,4,moro_geldinv_opt 10,0,0.59,0.139733552,0.83,0.94,0.027441235,0.54,0.7104
13,1,1,1,1,1,2,8,5,3,7,3,moro_geldinv_opt 18,0,0.56,0.089937145,0.83,0.73,0.02917962,0.67,0.4543
20,1,1,1,1,0,0,8,6,0,4,3,moro_geldinv_opt 3,0.016084336,0.55,0.118449449,0.67,0.87,0.02917962,0.67,0.7104
21,1,1,1,1,0,0,7,5,3,4,3,moro_geldinv_opt 32,0.016084336,0.55,0.115613123,0.71,0.77,0.02917962,0.67,0.7104
19,1,1,1,1,0,3,7,9,0,7,3,moro_geldinv_opt 26,0.011067864,0.53,0.078635894,0.83,0.49,0.031004769,0.81,0.7104
28,1,1,1,1,1,5,7,9,1,5,3,moro_geldinv_opt 51,0.018765058,0.49,0.109401314,0.64,0.74,0.031004769,0.81,0.7104
12,1,1,1,1,0,2,8,9,6,10,3,moro_geldinv_opt 16,0.02184204,0.46,0.087786071,0.55,0.73,0.02917962,0.67,0.4543
18,1,1,1,1,1,0,8,6,3,10,3,moro_geldinv_opt 25,0,0.42,0.079743177,0.69,0.6,0.031004769,0.81,0.7104
26,1,1,1,1,1,0,4,5,3,5,3,moro_geldinv_opt 46,0.016084336,0.42,0.074567394,0.64,0.6,0.02917962,0.67,0.7104
25,1,1,1,1,1,0,5,3,3,5,3,moro_geldinv_opt 45,0.012946672,0.4,0.078331545,0.64,0.68,0.02917962,0.67,0.7104
34,1,1,1,0,1,5,8,5,2,10,3,moro_geldinv_opt 8,0.030069072,0.39,0.104005529,0.99,0.72,0.027441235,0.31,0.3331
32,1,1,1,1,1,2,5,5,0,5,4,moro_geldinv_opt 62,0.021855463,0.33,0.069731114,0.57,0.49,0.034931117,0.93,0.7104
